time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-11 00:00:00+00:00,6,5,,
2024-05-12 00:00:00+00:00,13,7,2.0,2.0
2024-05-13 00:00:00+00:00,16,7,1.0,1.0
2024-05-14 00:00:00+00:00,7,4,,
2024-05-15 00:00:00+00:00,4,3,,
2024-05-16 00:00:00+00:00,6,3,,
2024-05-17 00:00:00+00:00,2,2,,
2024-05-18 00:00:00+00:00,2,2,,
2024-05-19 00:00:00+00:00,15,5,41.0,1.0
2024-05-20 00:00:00+00:00,7,4,5.0,1.0
2024-05-21 00:00:00+00:00,13,5,1.0,1.0
2024-05-22 00:00:00+00:00,15,7,1.0,1.0
2024-05-23 00:00:00+00:00,5,3,,
2024-05-24 00:00:00+00:00,4,2,,
