time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-05 00:00:00+00:00,4,3,0,0
2023-08-06 00:00:00+00:00,8,5,1,1
2023-08-07 00:00:00+00:00,4,4,0,0
2023-08-08 00:00:00+00:00,4,1,16,1
2023-08-09 00:00:00+00:00,6,2,2,2
2023-08-10 00:00:00+00:00,1,1,2,2
2023-08-11 00:00:00+00:00,1,1,0,0
2023-08-12 00:00:00+00:00,3,2,0,0
2023-08-13 00:00:00+00:00,6,2,0,0
2023-08-14 00:00:00+00:00,1,1,0,0
2023-08-16 00:00:00+00:00,4,3,1,1
2023-08-17 00:00:00+00:00,3,1,1,1
2023-08-18 00:00:00+00:00,9,5,1,1
2023-08-19 00:00:00+00:00,24,8,15,1
