_date,total_clones,unique_clones
2023-08-05,4,3
2023-08-06,8,5
2023-08-07,4,4
2023-08-08,4,1
2023-08-09,6,2
2023-08-10,1,1
2023-08-11,1,1
2023-08-12,3,2
2023-08-13,6,2
2023-08-14,1,1
2023-08-16,4,3
2023-08-17,3,1
2023-08-18,9,5
2023-08-19,27,9
2023-08-20,24,9
2023-08-21,29,13
2023-08-22,5,4
2023-08-23,11,7
2023-08-24,9,5
2023-08-25,9,7
2023-08-26,8,5
2023-08-27,6,4
2023-08-28,14,9
2023-08-29,10,5
2023-08-30,7,5
2023-08-31,5,4
2023-09-01,4,3
2023-09-02,4,3
2023-09-03,5,3
2023-09-04,7,4
2023-09-05,4,3
2023-09-06,4,3
2023-09-07,4,3
2023-09-08,5,4
2023-09-09,5,4
2023-09-10,5,3
2023-09-11,7,4
2023-09-12,6,5
2023-09-13,8,4
2023-09-14,5,4
2023-09-15,5,4
2023-09-16,23,9
2023-09-17,11,4
2023-09-18,13,9
2023-09-19,18,7
2023-09-20,5,4
2023-09-21,5,4
2023-09-22,6,3
2023-09-23,4,3
2023-09-24,1,1
