_date,total_views,unique_views
2023-08-06,1,1
2023-08-08,16,1
2023-08-09,2,2
2023-08-10,2,2
2023-08-16,1,1
2023-08-17,1,1
2023-08-18,1,1
2023-08-19,15,1
2023-08-20,1,1
2023-08-21,14,2
2023-08-22,4,2
2023-08-27,3,3
2023-08-30,1,1
2023-09-05,1,1
2023-09-12,1,1
2023-09-15,3,1
2023-09-21,1,1
2023-09-24,1,1
2023-09-25,1,1
2023-09-27,9,1
2023-10-05,1,1
2023-10-12,16,2
2023-10-15,2,1
2023-10-22,93,2
2023-10-23,1,1
2023-10-25,4,2
2023-10-30,1,1
2023-11-05,1,1
2023-11-07,1,1
2023-11-10,11,2
2023-11-11,2,1
2023-11-14,1,1
2023-11-17,105,1
2023-11-21,3,2
2023-11-22,2,2
2023-11-23,2,1
2023-11-24,3,1
2023-11-26,1,1
2023-11-27,21,2
2023-11-29,2,2
2023-11-30,1,1
2023-12-01,3,3
2023-12-02,2,1
2023-12-04,10,1
2023-12-07,1,1
2023-12-08,1,1
2023-12-10,3,1
